original_title,popularity,vote_average,vote_count,runtime,release_year
Xun zhao Cheng Long,118.653,4.4,46.0,85.0,2009.0
Toy Story 2,125.459,7.6,11000.0,92.0,1999.0
Ice Age,126.211,7.3,10489.0,81.0,2002.0
映画 聲の形,132.05,8.4,2614.0,130.0,2016.0
Doctor Strange,115.596,7.4,17709.0,115.0,2016.0
Porno & Libertà,122.833,5.4,63.0,79.0,2016.0
Southpaw,105.745,7.4,4516.0,123.0,2015.0
Destello Bravío,120.253,6.1,7.0,98.0,2021.0
The Purge: Election Year,106.161,6.4,4261.0,105.0,2016.0
John Carter,115.257,6.2,4474.0,132.0,2012.0
Wrath of the Titans,105.074,5.7,3377.0,99.0,2012.0
Willy's Wonderland,108.006,6.5,385.0,88.0,2021.0
Lokillo: nada es igual,97.682,7.8,15.0,64.0,2021.0
Barbie & Chelsea: The Lost Birthday,106.542,7.2,58.0,60.0,2021.0
Sonic the Hedgehog,124.308,7.4,7240.0,99.0,2020.0
Big Hero 6,109.657,7.8,13112.0,102.0,2014.0
Curse of Chucky,96.24,5.8,1127.0,97.0,2013.0
Girl in the Basement,113.334,8.1,268.0,90.0,2021.0
Deadpool 2,111.516,7.5,13893.0,119.0,2018.0
Boyka: Undisputed IV,116.227,7.0,930.0,87.0,2016.0
La Llorona,90.234,6.6,223.0,97.0,2020.0
Battle: Los Angeles,115.452,5.7,2745.0,116.0,2011.0
How the Grinch Stole Christmas,122.213,6.7,5531.0,104.0,2000.0
TEKKEN,101.66,5.4,512.0,92.0,2010.0
The Hunger Games: Mockingjay - Part 1,105.522,6.8,13034.0,123.0,2014.0
The Penitent Thief,115.977,4.8,4.0,93.0,2021.0
In Time,99.952,6.9,9049.0,109.0,2011.0
반도,112.928,6.9,1714.0,116.0,2020.0
Tentacles,93.795,6.2,83.0,84.0,2021.0
The First Purge,106.14,6.0,3159.0,97.0,2018.0
San Andreas,109.152,6.2,6870.0,114.0,2015.0
The Hangover Part II,100.411,6.4,8490.0,102.0,2011.0
The Nun,96.872,5.8,4901.0,96.0,2018.0
Iron Man,98.686,7.6,21554.0,126.0,2008.0
Hotel Transylvania,101.384,6.9,6959.0,91.0,2012.0
American Pie Presents: The Book of Love,117.752,5.3,1389.0,93.0,2009.0
Les Rois de l'arnaque,115.384,6.0,4.0,105.0,2021.0
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),109.157,7.0,8238.0,109.0,2020.0
ドラゴンボールＺ 危険なふたり！超戦士はねむれない,111.569,6.7,475.0,48.0,1994.0
Call Me by Your Name,117.179,8.3,9589.0,132.0,2017.0
100% Wolf,109.35,5.9,198.0,96.0,2020.0
Ratatouille,107.165,7.8,13176.0,111.0,2007.0
遊☆戯☆王 THE DARK SIDE OF DIMENSIONS,106.812,7.5,245.0,120.0,2016.0
映画 ギヴン,115.335,8.5,263.0,60.0,2020.0
Frozen,112.116,7.3,13633.0,102.0,2013.0
Dead Like Me: Life After Death,96.973,6.2,150.0,87.0,2009.0
제8일의 밤,101.97,6.1,54.0,115.0,2021.0
Plan A,158.725,4.3,6.0,109.0,2021.0
Schwarze Insel,93.971,6.2,109.0,105.0,2021.0
The Last Duel,111.097,7.7,394.0,153.0,2021.0
Megamind,105.316,6.9,5294.0,96.0,2010.0
The Hobbit: An Unexpected Journey,107.123,7.3,15327.0,169.0,2012.0
Justice Society: World War II,98.108,7.8,338.0,84.0,2021.0
Coraline,111.854,7.8,5356.0,100.0,2009.0
Resort to Love,100.284,7.4,263.0,101.0,2021.0
Scary Movie 5,100.035,4.8,2193.0,86.0,2013.0
Guardians of the Galaxy Vol. 2,92.961,7.6,17344.0,137.0,2017.0
Smelliville,107.299,7.6,32.0,85.0,2021.0
John Wick: Chapter 2,109.503,7.3,9618.0,122.0,2017.0
La Casa de Papel: el fenómeno,107.516,7.6,843.0,57.0,2020.0
The Pilgrim's Progress,90.879,7.9,55.0,108.0,2019.0
Iron Man 3,109.815,6.9,18524.0,130.0,2013.0
Child's Play 2,109.348,6.2,1244.0,84.0,1990.0
Salt,111.486,6.4,4388.0,100.0,2010.0
ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦,112.958,7.2,609.0,70.0,1993.0
The Parent Trap,108.251,7.1,3061.0,128.0,1998.0
Blitz,103.325,6.1,1211.0,97.0,2011.0
Maleficent: Mistress of Evil,86.477,7.4,4730.0,119.0,2019.0
Thunder Force,98.333,5.7,826.0,107.0,2021.0
一吻定情,88.894,6.7,71.0,123.0,2019.0
The Lord of the Rings: The Fellowship of the Ring,100.529,8.4,19964.0,179.0,2001.0
The Call,83.301,6.8,2380.0,94.0,2013.0
Jumanji: The Next Level,96.802,7.0,6337.0,123.0,2019.0
